"codigo,""titulo"",""ano"""
"01,CARIRI,2022"
"02,CENTRO SUL,2022"
"03,GRANDE FORTALEZA,2022"
"04,LITORAL LESTE,2022"
"05,LITORAL NORTE,2022"
"06,LITORAL OESTE / VALE DO CURU,2022"
"07,MACIÃ‡O DO BATURITÃ‰,2022"
"08,SERRA DA IBIAPABA,2022"
"09,SERTÃƒO CENTRAL,2022"
"10,SERTÃƒO DE CANINDÃ‰,2022"
"11,SERTÃƒO DE SOBRAL,2022"
"12,SERTÃƒO DOS CRATEÃšS,2022"
"13,SERTÃƒO DOS INHAMUNS,2022"
"14,VALE DO JAGUARIBE,2022"
"15,ESTADO DO CEARÃ,2022"
"01,CARIRI,2023"
"02,CENTRO SUL,2023"
"03,GRANDE FORTALEZA,2023"
"04,LITORAL LESTE,2023"
"05,LITORAL NORTE,2023"
"06,LITORAL OESTE / VALE DO CURU,2023"
"07,MACIÃ‡O DO BATURITÃ‰,2023"
"08,SERRA DA IBIAPABA,2023"
"09,SERTÃƒO CENTRAL,2023"
"10,SERTÃƒO DE CANINDÃ‰,2023"
"11,SERTÃƒO DE SOBRAL,2023"
"12,SERTÃƒO DOS CRATEÃšS,2023"
"13,SERTÃƒO DOS INHAMUNS,2023"
"14,VALE DO JAGUARIBE,2023"
"15,ESTADO DO CEARÃ,2023"
"01,CARIRI,2024"
"02,CENTRO SUL,2024"
"03,GRANDE FORTALEZA,2024"
"04,LITORAL LESTE,2024"
"05,LITORAL NORTE,2024"
"06,LITORAL OESTE / VALE DO CURU,2024"
"07,MACIÃ‡O DO BATURITÃ‰,2024"
"08,SERRA DA IBIAPABA,2024"
"09,SERTÃƒO CENTRAL,2024"
"10,SERTÃƒO DE CANINDÃ‰,2024"
"11,SERTÃƒO DE SOBRAL,2024"
"12,SERTÃƒO DOS CRATEÃšS,2024"
"13,SERTÃƒO DOS INHAMUNS,2024"
"14,VALE DO JAGUARIBE,2024"
"15,ESTADO DO CEARÃ,2024"